 Package                           Name                                                              Type    Status         Version        
 Panels                            Mini panels (panels_mini)                                         Module  Not installed  6.x-3.9        
 Panels                            Panel nodes (panels_node)                                         Module  Not installed  6.x-3.9        
 Panels                            Panels (panels)                                                   Module  Disabled       6.x-3.9        
 Panels                            Panels In-Place Editor (panels_ipe)                               Module  Not installed  6.x-3.9        
 Printer, e-mail and PDF versions  PDF version (print_pdf)                                           Module  Enabled        6.x-1.14       
 Printer, e-mail and PDF versions  Printer-friendly pages (print)                                    Module  Enabled        6.x-1.14       
 Printer, e-mail and PDF versions  Send by e-mail (print_mail)                                       Module  Enabled        6.x-1.14       
 Spam control                      CAPTCHA (captcha)                                                 Module  Enabled        6.x-2.4        
 Spam control                      Image CAPTCHA (image_captcha)                                     Module  Enabled        6.x-2.4        
 Statistics                        Google Analytics (googleanalytics)                                Module  Enabled        6.x-3.3        
 Subscriptions                     Blog Subscriptions UI (subscriptions_blog_ui)                     Module  Enabled        6.x-1.4        
 Subscriptions                     CCK Fields (subscriptions_cck)                                    Module  Enabled        6.x-1.4        
 Subscriptions                     Content Subscriptions (subscriptions_content)                     Module  Enabled        6.x-1.4        
 Subscriptions                     Subscriptions (subscriptions)                                     Module  Enabled        6.x-1.4        
 Subscriptions                     Subscriptions Mail (subscriptions_mail)                           Module  Enabled        6.x-1.4        
 Subscriptions                     Subscriptions UI (subscriptions_ui)                               Module  Enabled        6.x-1.4        
 Subscriptions                     Taxonomy Subscriptions (subscriptions_taxonomy)                   Module  Enabled        6.x-1.4        
 Taxonomy                          Tagadelic (tagadelic)                                             Module  Enabled        6.x-1.3        
 Testing                           Database Test (database_test)                                     Module  Not installed  6.x-1.0-rc4    
 Testing                           Features Tests (features_test)                                    Module  Not installed  6.x-1.2        
 User interface                    CKEditor (ckeditor)                                               Module  Enabled        6.x-1.11       
 User interface                    External Links (extlink)                                          Module  Enabled        6.x-1.11       
 User interface                    jQuery Update (jquery_update)                                     Module  Enabled        6.x-2.0-alpha1 
 Video                             Amazon S3 on Video (video_s3)                                     Module  Not installed  6.x-4.2        
 Video                             Video (video)                                                     Module  Not installed  6.x-4.2        
 Video                             Video FTP (videoftp)                                              Module  Not installed  6.x-4.2        
 Video                             Video Upload (uploadfield)                                        Module  Not installed  6.x-4.2        
 Video                             Zencoder API on Video (video_zencoder)                            Module  Not installed  6.x-4.2        
 Views                             Bonus: Paged Feed (views_bonus_paged_feed)                        Module  Enabled        6.x-1.1        
 Views                             Bonus: Panels (views_bonus_panels)                                Module  Disabled       6.x-1.1        
 Views                             Bonus: Views Export (views_bonus_export)                          Module  Enabled        6.x-1.1        
 Views                             Views (views)                                                     Module  Enabled        6.x-3.0+41-dev 
 Views                             Views Bulk Operations (views_bulk_operations)                     Module  Enabled        6.x-1.13       
 Views                             Views Calc (views_calc)                                           Module  Enabled        6.x-1.3        
 Views                             Views Delimited List (views_delimited_list)                       Module  Enabled        6.x-1.x-dev    
 Views                             Views exporter (views_export)                                     Module  Enabled        6.x-3.0+41-dev 
 Views                             Views UI (views_ui)                                               Module  Enabled        6.x-3.0+41-dev 
 Webform                           Webform (webform)                                                 Module  Enabled        6.x-3.15       
 Wiche Custom                      WICHE Passport (wiche_passport)                                   Module  Enabled                       
 XML sitemap                       XML sitemap (xmlsitemap)                                          Module  Enabled        6.x-2.0-rc2    
 XML sitemap                       XML sitemap custom (xmlsitemap_custom)                            Module  Not installed  6.x-2.0-rc2    
 XML sitemap                       XML sitemap engines (xmlsitemap_engines)                          Module  Not installed  6.x-2.0-rc2    
 XML sitemap                       XML sitemap internationalization (xmlsitemap_i18n)                Module  Not installed  6.x-2.0-rc2    
 XML sitemap                       XML sitemap menu (xmlsitemap_menu)                                Module  Not installed  6.x-2.0-rc2    
 XML sitemap                       XML sitemap modal UI (xmlsitemap_modal)                           Module  Not installed  6.x-2.0-rc2    
 XML sitemap                       XML sitemap node (xmlsitemap_node)                                Module  Enabled        6.x-2.0-rc2    
 XML sitemap                       XML sitemap taxonomy (xmlsitemap_taxonomy)                        Module  Not installed  6.x-2.0-rc2    
 XML sitemap                       XML sitemap user (xmlsitemap_user)                                Module  Not installed  6.x-2.0-rc2    
 Other                             Bluemarine (bluemarine)                                           Theme   Disabled       6.22           
 Other                             Chameleon (chameleon)                                             Theme   Disabled       6.22           
 Other                             Garland (garland)                                                 Theme   Enabled        6.22           
 Other                             Marvin (marvin)                                                   Theme   Disabled       6.22           
 Other                             Minnelli (minnelli)                                               Theme   Disabled       6.22           
 Other                             Pushbutton (pushbutton)                                           Theme   Disabled       6.22           
 Other                             Zen (zen)                                                         Theme   Disabled       6.x-2.1        
 Other                             Zen Wiche (zen_wiche)                                             Theme   Enabled                       
 Other                             Zen_Experimental (zenExperimental)                                Theme   Disabled       6.x-2.1        

